,numaffairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,affairs
4,0,male,37,10,no,3,18,7,4,no
5,0,female,27,4,no,4,14,6,4,no
11,0,female,32,15,yes,1,12,1,4,no
16,0,male,57,15,yes,5,18,6,5,no
23,0,male,22,0.75,no,2,17,6,3,no
29,0,female,32,1.5,no,2,17,5,5,no
44,0,female,22,0.75,no,2,12,1,3,no
45,0,male,57,15,yes,2,14,4,4,no
47,0,female,32,15,yes,4,16,1,2,no
49,0,male,22,1.5,no,4,14,4,5,no
50,0,male,37,15,yes,2,20,7,2,no
55,0,male,27,4,yes,4,18,6,4,no
64,0,male,47,15,yes,5,17,6,4,no
80,0,female,22,1.5,no,2,17,5,4,no
86,0,female,27,4,no,4,14,5,4,no
93,0,female,37,15,yes,1,17,5,5,no
108,0,female,37,15,yes,2,18,4,3,no
114,0,female,22,0.75,no,3,16,5,4,no
115,0,female,22,1.5,no,2,16,5,5,no
116,0,female,27,10,yes,2,14,1,5,no
123,0,female,22,1.5,no,2,16,5,5,no
127,0,female,22,1.5,no,2,16,5,5,no
129,0,female,27,10,yes,4,16,5,4,no
134,0,female,32,10,yes,3,14,1,5,no
137,0,male,37,4,yes,2,20,6,4,no
139,0,female,22,1.5,no,2,18,5,5,no
147,0,female,27,7,no,4,16,1,5,no
151,0,male,42,15,yes,5,20,6,4,no
153,0,male,27,4,yes,3,16,5,5,no
155,0,female,27,4,yes,3,17,5,4,no
162,0,male,42,15,yes,4,20,6,3,no
163,0,female,22,1.5,no,3,16,5,5,no
165,0,male,27,0.417,no,4,17,6,4,no
168,0,female,42,15,yes,5,14,5,4,no
170,0,male,32,4,yes,1,18,6,4,no
172,0,female,22,1.5,no,4,16,5,3,no
184,0,female,42,15,yes,3,12,1,4,no
187,0,female,22,4,no,4,17,5,5,no
192,0,male,22,1.5,yes,1,14,3,5,no
194,0,female,22,0.75,no,3,16,1,5,no
210,0,male,32,10,yes,5,20,6,5,no
217,0,male,52,15,yes,5,18,6,3,no
220,0,female,22,0.417,no,5,14,1,4,no
224,0,female,27,4,yes,2,18,6,1,no
227,0,female,32,7,yes,5,17,5,3,no
228,0,male,22,4,no,3,16,5,5,no
239,0,female,27,7,yes,4,18,6,5,no
241,0,female,42,15,yes,2,18,5,4,no
245,0,male,27,1.5,yes,4,16,3,5,no
249,0,male,42,15,yes,2,20,6,4,no
262,0,female,22,0.75,no,5,14,3,5,no
265,0,male,32,7,yes,2,20,6,4,no
267,0,male,27,4,yes,5,20,6,5,no
269,0,male,27,10,yes,4,20,6,4,no
271,0,male,22,4,no,1,18,5,5,no
277,0,female,37,15,yes,4,14,3,1,no
290,0,male,22,1.5,yes,5,16,4,4,no
292,0,female,37,15,yes,4,17,1,5,no
293,0,female,27,0.75,no,4,17,5,4,no
295,0,male,32,10,yes,4,20,6,4,no
299,0,female,47,15,yes,5,14,7,2,no
320,0,male,37,10,yes,3,20,6,4,no
321,0,female,22,0.75,no,2,16,5,5,no
324,0,male,27,4,no,2,18,4,5,no
334,0,male,32,7,no,4,20,6,4,no
351,0,male,42,15,yes,2,17,3,5,no
355,0,male,37,10,yes,4,20,6,4,no
361,0,female,47,15,yes,3,17,6,5,no
362,0,female,22,1.5,no,5,16,5,5,no
366,0,female,27,1.5,no,2,16,6,4,no
370,0,female,27,4,no,3,17,5,5,no
374,0,female,32,10,yes,5,14,4,5,no
378,0,female,22,0.125,no,2,12,5,5,no
381,0,male,47,15,yes,4,14,4,3,no
382,0,male,32,15,yes,1,14,5,5,no
383,0,male,27,7,yes,4,16,5,5,no
384,0,female,22,1.5,yes,3,16,5,5,no
400,0,male,27,4,yes,3,17,6,5,no
403,0,female,22,1.5,no,3,16,5,5,no
409,0,male,57,15,yes,2,14,7,2,no
412,0,male,17.5,1.5,yes,3,18,6,5,no
413,0,male,57,15,yes,4,20,6,5,no
416,0,female,22,0.75,no,2,16,3,4,no
418,0,male,42,4,no,4,17,3,3,no
422,0,female,22,1.5,yes,4,12,1,5,no
435,0,female,22,0.417,no,1,17,6,4,no
439,0,female,32,15,yes,4,17,5,5,no
445,0,female,27,1.5,no,3,18,5,2,no
447,0,female,22,1.5,yes,3,14,1,5,no
448,0,female,37,15,yes,3,14,1,4,no
449,0,female,32,15,yes,4,14,3,4,no
478,0,male,37,10,yes,2,14,5,3,no
482,0,male,37,10,yes,4,16,5,4,no
486,0,male,57,15,yes,5,20,5,3,no
489,0,male,27,0.417,no,1,16,3,4,no
490,0,female,42,15,yes,5,14,1,5,no
491,0,male,57,15,yes,3,16,6,1,no
